rank,name,position,team,games,adp,bye,sos,injury_risk,floor_proj,consensus_proj,ds_proj,ceiling_proj,three_d_value,tier_overall,tier_positional,age,years_in_nfl
131,Keaton Mitchell,RB,LAC,17,13.01,7,0.6%,33%,99.7,75,116,255.1,10,10,10,24,3
132,Jordyn Tyson,WR,NO,13,9.07,8,0.9%,45%,127.9,202,171,264.4,9,10,8,22,0
133,Khalil Shakir,WR,BUF,17,11.12,7,0.7%,35%,152.4,154,173,239.1,9,10,8,26,4
134,Chris Rodriguez,RB,JAC,17,11.07,7,0.9%,27%,98.4,107,107,252.4,9,10,10,26,3
135,Isiah Pacheco,RB,DET,17,13.05,6,0.9%,36%,90.4,97,116,237.7,9,10,10,27,4
136,Dalton Kincaid,TE,BUF,17,10.11,7,-1.4%,62%,142.3,158,162,223.1,8,10,5,26,3
137,Deebo Samuel,WR,SF,17,12.02,8,-3.2%,51%,134.6,142,164,264.3,8,10,8,30,7
138,C.J. Stroud,QB,HOU,17,15.05,8,4.4%,29%,264.9,261,270,389.3,8,10,4,24,3
139,Dallas Goedert,TE,PHI,17,11.03,10,7.1%,83%,144.2,159,164,208.2,7,10,5,31,8
140,De'Zhaun Stribling,WR,SF,17,12.04,8,-3.2%,0%,136,60,153,276.6,7,10,8,23,0
141,MarShawn Lloyd,RB,GB,17,16.06,11,-2.2%,72%,76.3,46,95,257.4,7,11,11,25,2
142,Jake Ferguson,TE,DAL,17,10.05,14,-2.5%,55%,149.9,164,165,199.3,6,11,5,27,4
143,Tyler Allgeier,RB,ARI,17,12.03,14,0.1%,23%,90.7,84,104,212.7,6,11,11,26,4
144,Mark Andrews,TE,BAL,17,11.05,13,3.6%,36%,141.6,150,159,211.6,6,11,5,30,8
145,Alvin Kamara,RB,NO,16,13.02,8,1.8%,39%,85.1,91,109,242.3,6,11,11,31,9
146,Sam Darnold,QB,SEA,17,18.03,11,0.4%,29%,258.1,252,261,391.1,5,11,4,29,8
147,Bryce Young,QB,CAR,17,17.08,5,-0.8%,32%,244.1,238,247,394.6,5,11,4,25,3
148,Rashid Shaheed,WR,SEA,17,12.06,11,-0.1%,38%,136.7,135,159,252.7,5,11,8,27,4
149,Brian Robinson Jr.,RB,ATL,17,14.01,11,-3.2%,36%,85.3,90,100,212.7,5,11,11,27,4
150,Jaydon Blue,RB,DAL,17,16.11,14,2.9%,22%,75,37,88,244.4,5,11,11,22,1
151,Isaiah Likely,TE,NYG,17,10.07,8,3.2%,73%,144,151,156,208.1,5,11,5,26,4
152,Brenton Strange,TE,JAC,17,13.08,7,2.5%,48%,138.6,149,159,203.9,4,11,5,25,3
153,Aaron Rodgers,QB,PIT,17,19.05,9,-2.1%,53%,252.9,223,258,384.5,4,11,4,42,21
154,Fernando Mendoza,QB,LVR,13,19.03,13,-6.2%,23%,235.7,244,240,396.8,4,11,4,22,0
155,Jacoby Brissett,QB,ARI,13,19.06,14,-1.2%,10%,234.5,256,247,382.6,4,11,4,33,10
156,Jalen McMillan,WR,TB,17,14.11,10,2.6%,39%,128.6,117,151,260.2,3,11,8,24,2
157,Jonah Coleman,RB,DEN,17,13.10,10,0.1%,0%,70.4,50,78,242.4,3,12,12,23,0
158,Keenan Allen,WR,IND,17,19.08,13,-0.8%,49%,131.7,95,150,260.5,3,12,9,34,13
159,Jalen Coker,WR,CAR,17,11.10,5,-1.3%,18%,136.1,144,150,257.3,3,12,9,24,2
160,Justice Hill,RB,BAL,17,27.03,13,-0.1%,32%,86.1,88,96,191.4,3,12,12,28,7
161,Geno Smith,QB,NYJ,16,34.05,13,-4.4%,36%,231.6,238,241,390.8,3,12,4,35,13
162,Denzel Boston,WR,CLE,17,13.07,11,4.3%,42%,130,126,148,261.5,3,12,9,22,0
163,Juwan Johnson,TE,NO,17,13.06,8,-0.1%,45%,136.2,145,157,197.3,2,12,5,29,6
164,Emmett Johnson,RB,KC,17,17.05,5,0.6%,18%,63.6,34,82,217.6,2,12,12,22,0
